Product_name,Product_Description,Specifications,Average_Review,Total_Review_and_ratings,original_price,selling_price,Product_URL
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","Redmi Note 7 Pro (Neptune Blue, 64 GB)4.62,12,069 Ratings & 21,354 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.6,"2,12,069 Ratings & 21,354 Reviews","15,999","13,999",https://www.flipkart.com/redmi-note-7-pro-neptune-blue-64-gb/p/itmfegkx8nbcze6t?pid=MOBFDXZ376XRTZXH&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFDXZ376XRTZXHWRK63O&fm=organic&iid=94ab2eac-f425-47d5-b43c-ec66258b2a29.MOBFDXZ376XRTZXH.SEARCH&qH=a5594894156db043
"Redmi Note 7 Pro (Space Black, 64 GB)","Redmi Note 7 Pro (Space Black, 64 GB)4.62,12,069 Ratings & 21,354 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.6,"2,12,069 Ratings & 21,354 Reviews","15,999","13,999",https://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfegkx2gufuzhp?pid=MOBFDXZ36Y4DJBGM&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFDXZ36Y4DJBGMQF27GZ&fm=organic&iid=7e50fc93-8601-4e94-900a-a7e96a68b236.MOBFDXZ36Y4DJBGM.SEARCH&qH=a5594894156db043
"Redmi Note 7S (Sapphire Blue, 32 GB)","Redmi Note 7S (Sapphire Blue, 32 GB)4.433,790 Ratings & 3,203 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorQuick Charge 4.0 SupportSplash Proof - Protected by P2iBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorQuick Charge 4.0 SupportSplash Proof - Protected by P2iBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,"33,790 Ratings ","11,999","10,999",https://www.flipkart.com/redmi-note-7s-sapphire-blue-32-gb/p/itmfgpbacwygthha?pid=MOBFGGJ8Z7ZQVHSZ&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFGGJ8Z7ZQVHSZQRRF6R&fm=organic&iid=5196ddce-d447-4a91-983f-636c48632813.MOBFGGJ8Z7ZQVHSZ.SEARCH&qH=a5594894156db043
"Realme 3 (Dynamic Black, 32 GB)","Realme 3 (Dynamic Black, 32 GB)4.51,89,898 Ratings & 20,000 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP + 2MP | 13MP Front Camera4230 mAh BatteryMediaTek Helio P70 Octa Core 2.1 GHz AI ProcessorTriple Slots (Dual SIM + Memory Card)Fingerprint Sensor and Face UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP + 2MP | 13MP Front Camera4230 mAh BatteryMediaTek Helio P70 Octa Core 2.1 GHz AI ProcessorTriple Slots (Dual SIM + Memory Card)Fingerprint Sensor and Face UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.5,"1,89,898 Ratings ","10,999","8,999",https://www.flipkart.com/realme-3-dynamic-black-32-gb/p/itmfe68wrbfnzqwz?pid=MOBFE68WZM7UFMDA&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFE68WZM7UFMDAHFVR99&fm=organic&iid=bcd13387-089f-4563-a2fc-6a381f825c14.MOBFE68WZM7UFMDA.SEARCH&qH=a5594894156db043
"Realme 3 (Radiant Blue, 64 GB)","Realme 3 (Radiant Blue, 64 GB)4.51,89,898 Ratings & 20,000 Reviews3 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP + 2MP | 13MP Front Camera4230 mAh BatteryMediaTek Helio P70 Octa Core 2.1 GHz AI ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP + 2MP | 13MP Front Camera4230 mAh BatteryMediaTek Helio P70 Octa Core 2.1 GHz AI ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.5,"1,89,898 Ratings ","11,999","9,999",https://www.flipkart.com/realme-3-radiant-blue-64-gb/p/itmfe68wrbfnzqwz?pid=MOBFFVFD84FXJTXH&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFFVFD84FXJTXHFZNGKZ&fm=organic&iid=05eeb0b2-d364-47f8-8461-29f569c7ffee.MOBFFVFD84FXJTXH.SEARCH&qH=a5594894156db043
"Redmi Note 7 Pro (Space Black, 128 GB)","Redmi Note 7 Pro (Space Black, 128 GB)4.643,602 Ratings & 4,330 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.6,"43,602 Ratings & 4,330 Reviews","17,999","16,999",https://www.flipkart.com/redmi-note-7-pro-space-black-128-gb/p/itmfdxz6j7sdhf4c?pid=MOBFDXZ3TFDKZYHU&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFDXZ3TFDKZYHUSFM9ZE&fm=organic&iid=12fcc7da-ea00-4cf4-b7ae-aaa41989c77b.MOBFDXZ3TFDKZYHU.SEARCH&qH=a5594894156db043
"Redmi Note 7S (Onyx Black, 32 GB)","Redmi Note 7S (Onyx Black, 32 GB)4.433,790 Ratings & 3,203 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorQuick Charge 4.0 SupportSplash Proof - Protected by P2iBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorQuick Charge 4.0 SupportSplash Proof - Protected by P2iBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,"33,790 Ratings ","11,999","10,999",https://www.flipkart.com/redmi-note-7s-onyx-black-32-gb/p/itmfgpbaq3wyvgwq?pid=MOBFGGJ8VUGCYUTU&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFGGJ8VUGCYUTU7PSQH5&fm=organic&iid=6c318a12-7ed2-4b8f-aa91-320b225a3a60.MOBFGGJ8VUGCYUTU.SEARCH&qH=a5594894156db043
"Redmi Note 7 Pro (Nebula Red, 64 GB)","Redmi Note 7 Pro (Nebula Red, 64 GB)4.62,12,069 Ratings & 21,354 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.6,"2,12,069 Ratings & 21,354 Reviews","15,999","13,999",https://www.flipkart.com/redmi-note-7-pro-nebula-red-64-gb/p/itmferghuf9ky6ru?pid=MOBFDXZ3UJJ7ETTE&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFDXZ3UJJ7ETTE9Q75RN&fm=organic&iid=aa7dfc5c-0876-467e-af4f-7c6ddb134f48.MOBFDXZ3UJJ7ETTE.SEARCH&qH=a5594894156db043
"Redmi Note 7S (Ruby Red, 32 GB)","Redmi Note 7S (Ruby Red, 32 GB)4.433,790 Ratings & 3,203 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorQuick Charge 4.0 SupportSplash Proof - Protected by P2iBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorQuick Charge 4.0 SupportSplash Proof - Protected by P2iBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,"33,790 Ratings ","11,999","10,999",https://www.flipkart.com/redmi-note-7s-ruby-red-32-gb/p/itmfgpbamgc77wkq?pid=MOBFGGJ89UPRVZMH&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFGGJ89UPRVZMHOZ5AIC&fm=organic&iid=37e0eb9c-1dac-4467-b840-fced4249c7fa.MOBFGGJ89UPRVZMH.SEARCH&qH=a5594894156db043
"Realme 3 Pro (Lightning Purple, 128 GB)","Realme 3 Pro (Lightning Purple, 128 GB)4.540,321 Ratings & 5,660 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0Dual Nano SIM Slot and Memory Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0Dual Nano SIM Slot and Memory Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.5,"40,321 Ratings ","19,999","16,999",https://www.flipkart.com/realme-3-pro-lightning-purple-128-gb/p/itmffmg3xrygun4f?pid=MOBFFMG3ECHHYSPD&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFFMG3ECHHYSPDHTQHZQ&fm=organic&iid=c6dbc2f4-42f7-46fd-9000-71792ce3b4fb.MOBFFMG3ECHHYSPD.SEARCH&qH=a5594894156db043
"Realme 3 Pro (Lightning Purple, 64 GB)","Realme 3 Pro (Lightning Purple, 64 GB)4.540,321 Ratings & 5,660 Reviews6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0Dual Nano SIM Slot and Memory Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0Dual Nano SIM Slot and Memory Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.5,"40,321 Ratings ","17,999","15,999",https://www.flipkart.com/realme-3-pro-lightning-purple-64-gb/p/itmffmg3xrygun4f?pid=MOBFFMG3WNFW8MFB&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFFMG3WNFW8MFBHY87CM&fm=organic&iid=b1323dff-8eae-488d-b883-05f7c9ebfd19.MOBFFMG3WNFW8MFB.SEARCH&qH=a5594894156db043
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","Redmi Note 7 Pro (Neptune Blue, 128 GB)4.643,602 Ratings & 4,330 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.6,"43,602 Ratings & 4,330 Reviews","17,999","16,999",https://www.flipkart.com/redmi-note-7-pro-neptune-blue-128-gb/p/itmffdudreuhph5y?pid=MOBFDXZ3Z8WBPDWK&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFDXZ3Z8WBPDWKZPE9BP&fm=organic&iid=76ebd435-38bc-4bfd-a1aa-bdbafaa67b34.MOBFDXZ3Z8WBPDWK.SEARCH&qH=a5594894156db043
"Redmi Note 7 Pro (Nebula Red, 128 GB)","Redmi Note 7 Pro (Nebula Red, 128 GB)4.643,602 Ratings & 4,330 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.6,"43,602 Ratings & 4,330 Reviews","17,999","16,999",https://www.flipkart.com/redmi-note-7-pro-nebula-red-128-gb/p/itmffyqg5qhzzh4z?pid=MOBFDXZ3TYYTK3UT&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFDXZ3TYYTK3UTAC9SXS&fm=organic&iid=727c14f1-7679-4fd7-8984-3c746db42076.MOBFDXZ3TYYTK3UT.SEARCH&qH=a5594894156db043
"Redmi 6 (Blue, 64 GB)","Redmi 6 (Blue, 64 GB)4.44,17,710 Ratings & 32,259 Reviews3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,"4,17,710 Ratings ","10,499","7,499",https://www.flipkart.com/redmi-6-blue-64-gb/p/itmfa94eu8vg7zsa?pid=MOBF9GM4YCC7XKAZ&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBF9GM4YCC7XKAZGXF3P8&fm=organic&iid=cb1e0472-5461-4086-ab9c-0231f15923ff.MOBF9GM4YCC7XKAZ.SEARCH&qH=a5594894156db043
"Redmi 6 (Black, 64 GB)","Redmi 6 (Black, 64 GB)4.44,17,710 Ratings & 32,259 Reviews3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,"4,17,710 Ratings ","10,499","7,499",https://www.flipkart.com/redmi-6-black-64-gb/p/itmfa94eqhsxwhyn?pid=MOBFA2NXDQFTXNHJ&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFA2NXDQFTXNHJCYZ13S&fm=organic&iid=28db7a48-3de2-4736-9d59-60d6113a96d8.MOBFA2NXDQFTXNHJ.SEARCH&qH=a5594894156db043
"OPPO A3s (Purple, 64 GB)","OPPO A3s (Purple, 64 GB)4.33,047 Ratings & 255 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 8MP Front Camera4230 mAh BatteryQualcomm Snapdragon 450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 8MP Front Camera4230 mAh BatteryQualcomm Snapdragon 450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3,"3,047 Ratings ","13,990","9,990",https://www.flipkart.com/oppo-a3s-purple-64-gb/p/itmfgej4rzqsepsz?pid=MOBFG5BJBTGHG4B5&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFG5BJBTGHG4B5BVEKJU&fm=organic&iid=8314e2fe-630f-459a-b810-0a1fbcc8f737.MOBFG5BJBTGHG4B5.SEARCH&qH=a5594894156db043
"Redmi 6 (Gold, 64 GB)","Redmi 6 (Gold, 64 GB)4.44,17,710 Ratings & 32,259 Reviews3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,"4,17,710 Ratings ","10,499","7,499",https://www.flipkart.com/redmi-6-gold-64-gb/p/itmfa94ek8ujmm5z?pid=MOBF8F4BNUY8HGVX&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBF8F4BNUY8HGVXGI6GGC&fm=organic&iid=5ff911d0-6b5c-42a2-9dc6-071a46763df0.MOBF8F4BNUY8HGVX.SEARCH&qH=a5594894156db043
"Redmi Go (Blue, 16 GB)","Redmi Go (Blue, 16 GB)4.375,770 Ratings & 6,217 Reviews1 GB RAM | 16 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display8MP Rear Camera | 5MP Front Camera3000 mAh Li Polymer BatteryQualcomm Snapdragon 425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",1 GB RAM | 16 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display8MP Rear Camera | 5MP Front Camera3000 mAh Li Polymer BatteryQualcomm Snapdragon 425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3,"75,770 Ratings ","5,999","4,799",https://www.flipkart.com/redmi-go-blue-16-gb/p/itmfgqsaszhhyyy6?pid=MOBFGQSAQYYGFNSB&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFGQSAQYYGFNSBV2PHLI&fm=organic&iid=b7db9fba-ea8f-4a29-adad-0d4f9d9ac843.MOBFGQSAQYYGFNSB.SEARCH&qH=a5594894156db043
"Honor 9i (Graphite Black, 64 GB)","Honor 9i (Graphite Black, 64 GB)4.351,652 Ratings & 8,871 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 128 GB14.99 cm (5.9 inch) Full HD+ Display16MP + 2MP | 13MP + 2MP Dual Front Camera3340 mAh BatteryHuawei Kirin 659 Octa Core Clocked up to 2.36 GHz Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","4 GB RAM | 64 GB ROM | Expandable Upto 128 GB14.99 cm (5.9 inch) Full HD+ Display16MP + 2MP | 13MP + 2MP Dual Front Camera3340 mAh BatteryHuawei Kirin 659 Octa Core Clocked up to 2.36 GHz Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",4.3,"51,652 Ratings ","19,999","9,999",https://www.flipkart.com/honor-9i-graphite-black-64-gb/p/itmexnp94kcvdnqw?pid=MOBEXNP98SPYXR4J&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBEXNP98SPYXR4JEJ1CG5&fm=organic&iid=91579be7-ec7a-44be-b199-0d336698b4cd.MOBEXNP98SPYXR4J.SEARCH&qH=a5594894156db043
"Infinix Smart 3 Plus (Midnight Black, 32 GB)","Infinix Smart 3 Plus (Midnight Black, 32 GB)4.217,511 Ratings & 2,699 Reviews2 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.77 cm (6.21 inch) HD+ Display13MP + 2MP + Low Light Sensor | 8MP Front Camera3500 mAh Li-ion Polymer BatteryMediaTek A22 Quad Core 2.0GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.77 cm (6.21 inch) HD+ Display13MP + 2MP + Low Light Sensor | 8MP Front Camera3500 mAh Li-ion Polymer BatteryMediaTek A22 Quad Core 2.0GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2,"17,511 Ratings ","7,999","6,999",https://www.flipkart.com/infinix-smart-3-plus-midnight-black-32-gb/p/itmffnu4txbsjzem?pid=MOBFFNU4KDGYPHQY&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFFNU4KDGYPHQYZCOIPL&fm=organic&iid=31737c01-c4db-4a62-b3b5-b554c4bd3574.MOBFFNU4KDGYPHQY.SEARCH&qH=a5594894156db043
"Redmi 6 (Rose Gold, 64 GB)","Redmi 6 (Rose Gold, 64 GB)4.44,17,710 Ratings & 32,259 Reviews3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,"4,17,710 Ratings ","10,499","7,499",https://www.flipkart.com/redmi-6-rose-gold-64-gb/p/itmf8bdjfsd5q3n4?pid=MOBF9GM492GK2WHJ&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBF9GM492GK2WHJGJNJSY&fm=organic&iid=1cc9a609-67c6-4c34-bf7b-00ed201b3407.MOBF9GM492GK2WHJ.SEARCH&qH=a5594894156db043
